price,sqft_price,super_area_sqft,bhk,bathroom,balcony,covered_parking,open_parking,total_parking,facility_score,floor_number,total_floors,property_id,city_id,location_id,property_type_id,transaction_id,furnishing_id,overlooking_id,ownership_id,facing_id,floor_category_id
9090000.0,6900.0,1318.0,3,2.0,2.0,1,0,1,0,3.0,5.0,92,1,1425,0,0,2,1,1,1,2
14400000.0,10434.0,1296.0,3,3.0,2.0,1,0,1,0,2.0,3.0,93,1,1502,0,0,2,5,1,0,2
72800000.0,22750.0,3200.0,4,4.0,4.0,4,0,4,0,-1.0,13.0,94,1,2483,0,0,2,3,1,1,1
19500000.0,10518.0,2524.0,3,3.0,2.0,0,0,0,0,4.0,10.0,95,1,1564,4,2,2,4,1,0,2
7300000.0,7006.0,13893.333333333334,2,2.0,1.0,6,0,6,0,2.0,2.0,96,1,720,0,2,1,5,1,1,0
17500000.0,9419.0,1600.0,3,3.0,2.0,2,0,2,0,4.0,4.0,97,1,1328,0,2,2,0,1,0,0
19900000.0,12756.0,1553.3333333333333,3,3.0,2.0,1,0,1,0,1.0,4.0,98,1,1112,0,2,1,4,1,1,1
5000000.0,5336.0,937.0,2,2.0,1.0,0,0,0,0,4.0,4.0,99,1,1722,0,2,1,4,1,1,0
4900000.0,3500.0,1826.6666666666667,4,4.0,2.0,0,150,150,0,1.0,3.0,100,1,1657,0,2,1,5,1,4,2
63000000.0,21000.0,3000.0,3,3.0,1.0,1,0,1,0,4.0,10.0,101,1,736,3,2,2,4,1,3,2
4000000.0,4211.0,866.6666666666666,2,2.0,1.0,1,0,1,0,0.0,2.0,102,1,1399,0,2,2,3,1,1,1
8000000.0,8753.0,818.6666666666666,2,2.0,1.0,0,0,0,1,2.0,3.0,103,1,126,0,2,1,4,1,0,2
7000000.0,6679.0,1048.0,2,2.0,3.0,0,0,0,0,2.0,2.0,104,1,1282,0,2,0,4,1,1,0
4500000.0,4286.0,1050.0,2,2.0,2.0,1,0,1,0,0.0,3.0,105,1,429,0,2,1,5,1,1,1
