city,price,sqft_price,posted_by,bhk,property_type,location,transaction,furnishing,bathroom,balcony,facing,overlooking,ownership,super_area_sqft,ready_to_move,covered_parking,open_parking,facility_score,floor_number,total_floors,has_overlooking,floor_ratio,log_price,floor_category,total_parking,has_parking,price_in_lakhs,area_per_bhk,lat,lon,price_segment,price_segment_by_city
chennai,11100000.000000002,9039.0,unknown,3,apartment,sholinganallur,new property,unfurnished,2.0,1.0,north - east,"garden/park, pool",freehold,1024.0,0,1,0,0,5.0,24.0,1,0.20833333333333334,16.22245575637265,low,1,1,111.00000000000001,341.3333333333333,12.9174426,80.2164902,Affordable,Mid-range
chennai,17800000.0,10267.0,builder: double t infrastructure llp,3,builder floor,villivakkam,new property,semi-furnished,3.0,2.0,east,insignificant,freehold,1734.0,1,1,0,0,4.0,10.0,0,0.4,16.694709071442087,mid,1,1,178.0,578.0,13.1125875,80.2081378,Mid-range,Premium
chennai,6709999.999999999,6999.0,builder: ms charan builders pvt ltd,2,apartment,balaji nagar perungalathur,new property,semi-furnished,2.0,1.0,south,main road,freehold,958.0,0,1,0,0,2.0,3.0,1,0.6666666666666666,15.71910965797915,mid,1,1,67.1,479.0,13.004405329120878,80.19845550357142,Budget,Affordable
chennai,9620000.0,6700.0,builder: greenline developers,3,apartment,pammal,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1436.0,0,1,0,0,4.0,10.0,0,0.4,16.07935492659199,mid,1,1,96.2,478.6666666666667,13.0347902,80.1994677,Affordable,Mid-range
chennai,13400000.0,13000.0,agent: hemdevs international realty services,2,apartment,choolaimedu,new property,unfurnished,2.0,2.0,north,insignificant,freehold,1102.6666666666667,1,1,0,0,3.0,3.0,0,1.0,16.410765339548004,high,1,1,134.0,551.3333333333334,13.0666287,80.2305198,Affordable,Mid-range
chennai,32599999.999999996,12300.0,unknown,4,apartment,perungudi,new property,unfurnished,3.0,2.0,north,main road,freehold,2080.0,1,1,0,0,9.0,19.0,1,0.47368421052631576,17.29982287701178,mid,1,1,325.99999999999994,520.0,12.9710239,80.2418051,Premium,Luxury
chennai,10000000.0,7199.0,agent: anjali properties,3,builder floor,madhavaram,new property,unfurnished,3.0,1.0,east,"garden/park, main road",freehold,1391.0,1,1,0,0,1.0,5.0,1,0.2,16.118095750958314,low,1,1,100.0,463.6666666666667,13.1429313,80.2325166,Affordable,Mid-range
chennai,10100000.0,10201.0,unknown,2,builder floor,arumbakkam,new property,unfurnished,2.0,2.0,east,main road,freehold,1324.0,1,1,0,0,1.0,3.0,1,0.3333333333333333,16.128046080821385,mid,1,1,101.0,662.0,13.074371,80.2081312,Affordable,Mid-range
chennai,6500000.0,5000.0,unknown,2,villa,guduvancheri,new property,unfurnished,2.0,1.0,south,"garden/park, main road",freehold,1666.6666666666667,1,1,0,0,4.0,10.0,1,0.4,15.687312888712007,mid,1,1,65.0,833.3333333333334,12.8439997,80.0603546,Budget,Affordable
chennai,12700000.0,8819.0,agent: aerial living,3,apartment,ayanambakkam,new property,unfurnished,3.0,2.0,north,"garden/park, pool, main road",freehold,1480.0,1,1,0,0,1.0,3.0,1,0.3333333333333333,16.357112630168974,mid,1,1,127.0,493.3333333333333,13.004405329120878,80.19845550357142,Affordable,Mid-range
chennai,7840000.000000001,8000.0,unknown,3,apartment,sholinganallur,new property,unfurnished,2.0,1.0,east,"garden/park, pool, main road",freehold,400.0,0,1,0,0,1.0,4.0,1,0.25,15.874749519877604,low,1,1,78.4,133.33333333333334,12.9174426,80.2164902,Budget,Affordable
chennai,6909999.999999999,8252.388535031845,unknown,2,apartment,perumbakkam,new property,unfurnished,2.0,1.0,east,"garden/park, pool, main road",freehold,837.3333333333334,0,0,1,0,2.0,3.0,1,0.6666666666666666,15.748480340461642,mid,1,1,69.1,418.6666666666667,12.9050095,80.1968629,Budget,Affordable
chennai,6800000.0,7907.0,agent: atw home,2,apartment,porur,new property,unfurnished,3.0,2.0,east,main road,freehold,1200.0,1,1,0,0,1.0,5.0,1,0.2,15.732433317205148,low,1,1,68.0,600.0,13.0320131,80.158304,Budget,Affordable
chennai,8020000.0,6200.0,agent: east coast living,2,apartment,chromepet,new property,unfurnished,2.0,1.0,north,"garden/park, pool, main road",freehold,1733.3333333333333,1,1,0,0,2.0,4.0,1,0.5,15.897449104530969,mid,1,1,80.2,866.6666666666666,12.9575007,80.1435066,Budget,Affordable
chennai,10500000.0,11000.0,agent: crown nd keys realty,2,apartment,kilpauk,new property,unfurnished,2.0,1.0,east,"garden/park, pool, main road",freehold,400.0,1,1,0,0,0.0,16.0,1,0.0,16.166885910365842,low,1,1,105.0,200.0,13.0832149,80.2379864,Affordable,Mid-range
chennai,8910000.0,8099.0,agent: emirates realty,3,apartment,gerugambakkam,new property,unfurnished,3.0,2.0,north,"garden/park, pool, main road",freehold,1100.0,1,0,1,0,3.0,4.0,1,0.75,16.002684911680433,high,1,1,89.1,366.6666666666667,13.0152345,80.1368538,Budget,Affordable
